drugbank_id,partner_id,substrate,inducer,inhibitor
DB00176,BE0001032,0,0,1
DB00176,BE0000703,1,0,0
DB00177,BE0003659,1,0,0
DB00177,BE0001004,1,0,1
DB00177,BE0001069,1,0,0
DB00178,BE0001018,1,0,0
DB00178,BE0001134,1,0,0
DB00182,BE0003650,1,0,0
DB00182,BE0000106,1,0,0
DB00184,BE0003647,0,0,1
DB00184,BE0003648,0,0,1
DB00184,BE0003650,0,0,1
DB00184,BE0000106,0,0,1
DB00184,BE0000757,0,0,1
DB00188,BE0001032,1,0,0
DB00188,BE0003659,0,0,1
DB00196,BE0001032,0,0,1
DB00197,BE0000703,0,0,1
DB00197,BE0001004,0,0,1
DB00198,BE0001188,1,0,0
DB00198,BE0001018,1,0,0
DB00198,BE0003645,1,0,0
DB00199,BE0003659,1,0,1
DB00199,BE0000703,1,0,1
DB00199,BE0001032,1,0,1
DB00199,BE0001004,1,0,1
DB00199,BE0001069,1,0,0
DB00199,BE0003642,1,0,1
DB00201,BE0001067,0,0,1
DB00203,BE0001188,0,0,1
DB00203,BE0003639,0,0,1
DB00203,BE0003651,0,0,1
DB00203,BE0001004,0,0,1
DB00203,BE0001032,1,0,1
DB00204,BE0003647,1,0,0
DB00205,BE0003657,0,0,1
DB00205,BE0004752,0,0,1
DB00206,BE0001032,1,1,1
DB00206,BE0003648,0,0,1
DB00206,BE0000703,0,0,1
DB00206,BE0001069,0,0,1
DB00206,BE0003647,1,0,0
DB00206,BE0001004,0,0,1
DB00206,BE0001042,0,0,1
DB00207,BE0001032,1,0,1
DB00207,BE0001069,1,0,1
DB00211,BE0001018,0,0,0
DB00213,BE0001032,1,0,1
DB00213,BE0001067,1,0,1
DB00213,BE0003645,0,0,1
DB00214,BE0001004,1,0,0
DB00215,BE0001032,1,0,1
DB00216,BE0001032,1,0,0
DB00220,BE0001032,1,1,1
DB00220,BE0003648,0,0,1
DB00220,BE0003642,0,0,1
DB00220,BE0001067,0,0,1
DB00220,BE0001004,0,0,1
DB00220,BE0003659,0,0,1
DB00220,BE0001042,0,0,1
DB00220,BE0000703,1,0,0
DB00222,BE0000703,1,0,0
DB00224,BE0001032,1,1,1
DB00224,BE0003648,0,0,1
DB00224,BE0000785,0,0,1
DB00224,BE0003642,0,0,1
DB00224,BE0001004,0,0,1
DB00224,BE0001069,1,0,0
DB00224,BE0001042,0,0,1
DB00224,BE0000703,1,0,0
DB00227,BE0001032,0,0,1
DB00227,BE0003642,0,0,1
DB00227,BE0001004,1,0,1
DB00227,BE0001069,1,0,0
DB00227,BE0000703,1,0,0
DB00227,BE0001042,0,0,0
DB00227,BE0003659,0,0,0
DB00229,BE0001066,1,0,1
DB00229,BE0003645,1,0,1
DB00230,BE0001054,0,0,0
DB00230,BE0000222,1,0,0
DB00234,BE0001032,0,0,1
DB00237,BE0001057,0,0,1
DB00238,BE0003648,0,0,1
DB00242,BE0001067,1,0,0
DB00242,BE0003672,0,0,0
DB00243,BE0000703,1,0,0
DB00243,BE0001032,1,0,1
DB00243,BE0003657,0,0,1
DB00243,BE0004752,0,0,1
DB00244,BE0001004,1,0,0
DB00244,BE0003659,1,0,0
DB00244,BE0001042,1,0,0
DB00246,BE0001032,0,0,0
DB00248,BE0001032,1,0,0
