drugbank_id,partner_id,substrate,inducer,inhibitor
DB00139,BE0000176,1,0,0
DB00139,BE0000355,0,0,0
DB00139,BE0009980,0,0,0
DB00139,BE0002195,0,0,0
DB00139,BE0002202,0,0,0
DB00139,BE0002206,0,0,0
DB00139,BE0002208,0,0,0
DB00139,BE0002256,0,0,0
DB00139,BE0000528,0,0,0
DB00140,BE0002198,0,0,0
DB00140,BE0002176,0,0,0
DB00143,BE0002189,1,0,0
DB00143,BE0002281,1,0,0
DB00145,BE0000010,1,0,0
DB00145,BE0000618,1,0,0
DB00145,BE0000737,1,0,0
DB00145,BE0002302,1,0,0
DB00146,BE0000443,1,0,0
DB00146,BE0002250,1,0,0
DB00150,BE0001343,1,0,1
DB00150,BE0002311,1,0,1
DB00150,BE0000121,1,0,0
DB00150,BE0000080,1,0,0
DB00150,BE0000228,1,0,1
DB00150,BE0000693,1,0,0
DB00150,BE0003532,1,0,0
DB00150,BE0002151,1,0,0
DB00152,BE0004673,0,1,0
DB00152,BE0000157,1,0,0
DB00152,BE0009876,1,0,0
DB00152,BE0009877,1,0,0
DB00153,BE0009671,1,0,0
DB00153,BE0003537,1,0,0
DB00153,BE0002250,1,0,0
DB00153,BE0000443,1,0,0
DB00153,BE0000549,1,0,0
DB00153,BE0000524,1,0,0
DB00157,BE0004352,1,0,0
DB00157,BE0000227,1,0,0
DB00157,BE0000400,1,0,0
DB00157,BE0000360,1,0,0
DB00157,BE0000009,1,0,0
DB00157,BE0000522,1,0,0
DB00157,BE0002204,1,0,0
DB00157,BE0003539,1,0,0
DB00157,BE0003545,1,0,0
DB00158,BE0000265,1,0,0
DB00158,BE0002176,1,0,0
DB00158,BE0000330,1,0,0
DB00161,BE0000223,1,0,0
DB00161,BE0000544,1,0,0
DB00161,BE0000517,1,0,0
DB00162,BE0003480,1,1,0
DB00163,BE0000814,0,0,1
DB00163,BE0000815,0,0,1
DB00163,BE0000810,0,1,0
DB00163,BE0000166,0,1,0
DB00163,BE0001184,0,1,0
DB00163,BE0000735,0,1,0
DB00163,BE0002390,0,1,0
DB00163,BE0002638,1,1,0
DB00163,BE0002189,0,1,0
DB00165,BE0003543,0,0,1
DB00165,BE0000042,1,0,0
DB00165,BE0000278,1,0,0
DB00165,BE0003546,1,0,0
DB00166,BE0002364,0,0,1
DB00169,BE0000524,1,0,0
DB00169,BE0000549,1,0,0
DB00169,BE0003683,1,0,0
DB00169,BE0002638,1,0,0
DB00169,BE0003537,1,0,0
DB00169,BE0003543,0,0,1
DB00169,BE0002887,0,0,1
DB00170,BE0002433,0,1,1
DB00170,BE0003336,0,0,1
DB00170,BE0001111,0,0,1
DB00170,BE0003549,0,0,1
DB00170,BE0002887,0,0,1
DB00170,BE0002793,0,0,1
DB00170,BE0003536,0,0,1
DB00170,BE0002363,0,0,1
DB00170,BE0003533,0,0,1
DB00170,BE0002638,0,0,1
DB00170,BE0002362,0,0,1
DB00170,BE0003612,0,0,1
DB00170,BE0002204,1,0,0
DB00170,BE0003539,0,0,1
DB00170,BE0002176,1,0,0
DB00170,BE0003543,0,1,1
DB00171,BE0003540,1,0,0
DB00172,BE0002330,1,0,0
DB00173,BE0003541,0,0,1
DB00176,BE0002363,1,0,1
DB00176,BE0002433,1,0,1
DB00176,BE0003543,0,0,1
DB00176,BE0002638,1,0,1
DB00176,BE0004866,0,0,1
DB00176,BE0002793,0,0,1
DB00176,BE0003536,0,0,1
DB00176,BE0003549,0,0,1
DB00177,BE0002793,1,0,0
DB00178,BE0002180,0,0,1
DB00180,BE0002638,1,1,0
