drugbank_id,partner_id,inhibitor,antagonist,agonist
DB00036,BE0000403,0,0,0
DB00036,BE0000333,0,0,0
DB00038,BE0000416,0,0,1
DB00039,BE0000748,0,0,1
DB00039,BE0002131,0,0,1
DB00039,BE0001031,0,0,0
DB00040,BE0000527,0,0,1
DB00040,BE0002134,0,0,1
DB00040,BE0000857,0,0,1
DB00041,BE0000651,0,0,1
DB00041,BE0000658,0,0,1
DB00041,BE0002102,0,0,1
DB00042,BE0002137,0,0,0
DB00042,BE0002136,0,0,0
DB00042,BE0002138,0,0,0
DB00043,BE0000015,1,0,0
DB00043,BE0002139,1,0,0
DB00044,BE0000134,0,0,1
DB00045,BE0001164,0,0,0
DB00046,BE0000033,0,0,1
DB00046,BE0000858,0,0,0
DB00047,BE0000033,0,0,1
DB00047,BE0000858,0,0,0
DB00048,BE0000025,0,0,0
DB00048,BE0002140,0,0,0
DB00048,BE0002130,0,0,0
DB00050,BE0000203,0,1,0
DB00050,BE0000134,0,0,0
DB00051,BE0000704,1,0,0
DB00052,BE0000075,0,0,0
DB00052,BE0000345,0,0,0
DB00054,BE0001155,0,1,0
DB00054,BE0000439,0,1,0
DB00054,BE0002098,0,0,0
DB00054,BE0002099,0,0,0
DB00054,BE0001068,0,0,0
DB00055,BE0000016,1,0,0
DB00055,BE0000041,1,0,0
DB00055,BE0000240,0,0,0
DB00055,BE0001151,0,0,0
DB00055,BE0000943,0,0,0
DB00055,BE0000048,0,0,0
DB00055,BE0001129,0,0,0
DB00055,BE0002112,0,0,0
DB00055,BE0002142,0,0,0
DB00055,BE0001161,0,0,0
DB00056,BE0000674,0,0,0
DB00056,BE0000901,0,0,0
DB00056,BE0002097,0,0,0
DB00056,BE0000710,0,0,0
DB00058,BE0000394,1,0,0
DB00060,BE0000661,0,0,1
DB00060,BE0000385,0,0,0
DB00061,BE0000917,0,0,0
DB00063,BE0001155,0,0,0
DB00063,BE0009351,0,1,0
DB00065,BE0000704,1,0,0
DB00066,BE0000387,0,0,1
DB00067,BE0000293,0,0,1
DB00067,BE0000165,0,0,1
DB00067,BE0000773,0,0,1
DB00067,BE0000844,0,0,1
DB00068,BE0000661,0,0,1
DB00068,BE0000385,0,0,1
DB00069,BE0000661,0,0,0
DB00069,BE0000385,0,0,0
DB00070,BE0000984,1,0,0
DB00071,BE0000033,0,0,0
DB00071,BE0000858,0,0,0
DB00072,BE0000511,0,0,0
DB00073,BE0000066,0,0,0
DB00074,BE0000658,0,0,0
DB00074,BE0000651,0,0,0
DB00075,BE0003456,0,0,0
DB00075,BE0000274,0,0,0
DB00075,BE0003457,0,0,0
DB00075,BE0003458,0,0,0
DB00075,BE0000901,0,0,0
DB00078,BE0000066,0,0,0
DB00081,BE0000066,0,0,0
DB00081,BE0002099,0,0,0
DB00082,BE0000075,0,1,0
DB00083,BE0000390,1,0,0
DB00083,BE0003572,1,0,0
DB00086,BE0000211,0,0,0
DB00086,BE0000928,0,0,0
DB00087,BE0000083,0,0,0
DB00087,BE0000901,0,0,0
DB00087,BE0002097,0,0,0
DB00087,BE0000710,0,0,0
DB00087,BE0002098,0,0,0
DB00087,BE0002099,0,0,0
DB00087,BE0002100,0,0,0
DB00089,BE0000568,0,0,0
DB00091,BE0000379,0,0,0
DB00091,BE0002143,1,0,0
DB00091,BE0001014,1,0,0
DB00091,BE0001399,0,0,0
DB00092,BE0000719,1,0,0
DB00092,BE0002097,0,0,0
DB00092,BE0000901,0,0,0
DB00093,BE0000165,0,0,1
DB00094,BE0000387,0,0,1
DB00095,BE0009967,0,0,0
DB00095,BE0000516,0,0,0
DB00097,BE0000134,0,0,0
DB00097,BE0000387,0,0,0
DB00098,BE0003573,0,1,0
DB00098,BE0000516,0,0,0
DB00098,BE0000846,0,0,0
DB00098,BE0002099,0,0,0
DB00098,BE0003488,0,0,0
DB00098,BE0003575,0,0,0
DB00098,BE0003576,0,0,0
DB00098,BE0001155,0,0,0
DB00098,BE0000598,1,0,0
DB00099,BE0000793,0,0,0
DB00100,BE0000216,0,0,0
DB00100,BE0001021,0,0,0
DB00100,BE0000333,0,0,0
DB00100,BE0000016,0,0,0
DB00100,BE0000048,0,0,0
DB00100,BE0002110,0,0,0
DB00100,BE0000403,0,0,0
DB00102,BE0000205,0,0,0
DB00102,BE0000852,0,0,0
DB00102,BE0000910,0,0,0
DB00105,BE0000385,0,0,0
DB00105,BE0000661,0,0,0
DB00106,BE0000203,0,1,0
DB00107,BE0000844,0,0,1
DB00108,BE0000590,0,0,0
DB00108,BE0000901,0,0,0
DB00108,BE0001085,0,0,0
DB00108,BE0000710,0,0,0
DB00109,BE0000398,0,0,0
DB00110,BE0000686,0,0,0
DB00110,BE0000901,0,0,0
DB00110,BE0002093,0,0,0
DB00110,BE0002094,0,0,0
DB00110,BE0002095,0,0,0
DB00110,BE0002096,0,0,0
DB00110,BE0002097,0,0,0
DB00110,BE0000710,0,0,0
DB00110,BE0002099,0,0,0
DB00111,BE0000658,0,0,0
DB00111,BE0000651,0,0,0
DB00111,BE0000901,0,0,0
DB00111,BE0002093,0,0,0
DB00111,BE0002094,0,0,0
DB00111,BE0002095,0,0,0
DB00111,BE0002096,0,0,0
DB00111,BE0002097,0,0,0
DB00111,BE0000710,0,0,0
DB00111,BE0002098,0,0,0
DB00111,BE0002099,0,0,0
DB00111,BE0002100,0,0,0
DB00112,BE0000163,0,0,0
DB00112,BE0002094,0,0,0
DB00112,BE0002095,0,0,0
DB00112,BE0002096,0,0,0
DB00112,BE0002097,0,0,0
DB00112,BE0000710,0,0,0
DB00112,BE0002098,0,0,0
DB00112,BE0002099,0,0,0
DB00112,BE0002100,0,0,0
DB00113,BE0000107,0,0,0
DB00114,BE0000102,0,0,0
DB00114,BE0000378,0,0,0
DB00114,BE0000323,0,0,0
DB00114,BE0000392,0,0,0
DB00114,BE0000331,0,0,0
DB00114,BE0000151,0,0,0
DB00114,BE0000529,0,0,0
DB00114,BE0000424,0,0,0
DB00114,BE0000404,0,0,0
DB00114,BE0000727,0,0,0
DB00114,BE0000253,1,0,0
DB00114,BE0000181,0,0,0
DB00114,BE0000778,0,0,0
DB00114,BE0000692,0,0,0
DB00114,BE0000273,0,0,0
DB00114,BE0000660,0,0,0
DB00114,BE0000079,0,0,0
DB00114,BE0000002,0,0,0
DB00114,BE0000448,0,0,0
DB00114,BE0000164,0,0,0
DB00114,BE0000518,0,0,0
DB00114,BE0000618,0,0,0
DB00114,BE0000667,0,0,0
DB00114,BE0000603,0,0,0
DB00114,BE0000409,0,0,0
DB00114,BE0000316,0,0,0
DB00114,BE0000278,0,0,0
DB00114,BE0000441,0,0,0
DB00114,BE0000791,0,0,0
DB00114,BE0000517,0,0,0
DB00114,BE0000721,0,0,0
DB00114,BE0002149,0,0,0
DB00114,BE0000383,0,0,0
DB00114,BE0002150,0,0,0
DB00114,BE0000916,0,0,0
DB00114,BE0002151,0,0,0
DB00114,BE0002152,0,0,0
DB00114,BE0002158,0,0,0
DB00114,BE0002159,0,0,0
DB00114,BE0002160,0,0,0
DB00114,BE0002162,0,0,0
DB00114,BE0002163,0,0,0
DB00114,BE0004605,0,0,0
DB00114,BE0004612,0,0,0
DB00114,BE0002164,0,0,0
DB00114,BE0002165,0,0,0
DB00114,BE0000292,0,0,0
DB00114,BE0000898,0,0,0
DB00114,BE0002166,0,0,0
DB00114,BE0002167,0,0,0
DB00114,BE0002168,0,0,0
DB00114,BE0000388,0,0,0
DB00114,BE0002171,0,0,0
DB00114,BE0002172,0,0,0
DB00114,BE0002173,0,0,0
DB00114,BE0002174,0,0,0
DB00115,BE0000734,0,0,0
DB00115,BE0000777,0,0,0
DB00115,BE0000763,0,0,0
DB00115,BE0000320,0,0,0
DB00115,BE0002175,0,0,0
DB00115,BE0002176,0,0,0
DB00116,BE0000617,0,0,0
DB00116,BE0000268,0,0,0
DB00116,BE0000010,0,0,0
DB00116,BE0000933,0,0,0
DB00116,BE0000734,0,0,0
DB00116,BE0000822,0,0,0
DB00116,BE0001240,0,0,0
DB00116,BE0000331,0,0,0
DB00116,BE0000292,0,0,0
DB00116,BE0002176,0,0,0
DB00116,BE0002177,0,0,0
DB00117,BE0000002,0,0,0
DB00117,BE0000740,0,0,0
DB00117,BE0000285,0,0,0
DB00117,BE0000086,0,0,0
DB00118,BE0002089,0,0,0
DB00118,BE0008997,0,0,0
DB00118,BE0005015,0,0,0
